,locality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,growth_pa
622,skenes creek,345000,460000,330000,360000,450000,500000,370000,532500,465000,435000,482500,3.4
623,skye,262500,280000,289000,320000,330000,370000,385000,390000,395000,413000,428500,5.0
624,smiths beach,338000,280000,355000,350000,325000,442500,380000,430000,372500,390000,450000,2.9
625,soldiers hill,195500,222000,220000,221000,227500,265500,277000,292500,283000,341000,310000,4.7
626,somers,388500,380000,435000,430500,497500,615000,615000,692500,660000,760000,696500,6.0
627,somerville,238000,257000,265000,300000,325500,370000,373500,361000,385000,397500,425000,6.0
628,sorrento,590000,580000,655000,745000,680000,850000,900000,730000,770000,795000,859000,3.8
629,south dudley,187000,156500,190000,216000,210000,235500,230000,216500,192000,191000,197500,0.5
630,south geelong,255500,297500,301500,310000,384500,420000,382500,430000,420500,470000,436000,5.5
631,south kingsville,340000,395000,442000,495000,509000,635500,610000,635000,619000,671000,742000,8.1
632,south melbourne,648000,604000,751500,822500,918500,759500,615000,910000,1027500,1200000,1280000,7.0
633,south morang,318000,327000,325000,341500,362500,410000,410000,420000,415000,420000,450000,3.5
634,south yarra,791000,835000,957500,905500,1100000,750000,935000,836500,1165000,1412500,1700000,8.0
635,spotswood,342000,391000,501000,500000,507000,635000,602500,640000,680000,640000,804000,8.9
636,spring gully,247500,246000,235000,247500,295500,294000,320000,340000,345000,350000,350000,3.5
637,springvale,245000,270000,303000,360000,407500,490000,470000,446500,450500,530000,642500,10.1
638,springvale south,270000,270500,300000,346500,371000,450500,420000,408000,430000,475000,562000,7.6
639,st albans,220000,217000,240000,278000,310000,385000,388000,348000,350000,374500,427000,6.9
640,st albans park,228000,235000,244500,250000,266000,298000,310000,307500,335000,330000,329000,3.7
641,st andrews beach,310000,352500,393500,408000,522500,495000,550000,714000,480000,495000,550000,5.9
642,st arnaud,102500,107000,104000,120000,125000,135000,125000,123000,140000,145000,141000,3.2
643,st helena,411000,445000,415000,493000,490500,562000,570000,556000,612500,623000,711000,5.6
644,st kilda,550000,620000,755000,810000,804500,690500,746000,840000,655000,1212500,1155000,7.7
645,st kilda east,557500,642000,856000,837500,857000,1000000,962500,993000,1050500,1050000,1367500,9.4
646,st kilda west,795000,1036000,1085000,1132500,1360000,1925000,1700000,1262500,1142500,2235000,1955500,9.4
647,st leonards,249000,270000,259000,290000,285000,350000,389000,363000,350000,362500,375000,4.2
648,stanhope,116000,121000,165000,126500,133000,160000,152000,175000,150000,131000,152500,2.8
649,stawell,138000,145500,143500,143000,145000,155000,147000,167000,162500,172500,177000,2.5
650,stratford,175000,171500,210000,185000,230000,207500,242500,267500,230000,261500,260500,4.1
651,strathdale,260000,253500,260000,266000,295000,330000,369500,361000,392500,380000,410500,4.7
652,strathfieldsaye,272500,285000,285000,276500,305000,357000,370000,359000,377000,397500,406500,4.1
653,strathmerton,90000,151000,182500,125000,150000,165000,107500,164500,166000,172500,185000,7.5
654,strathmore,525000,510000,590000,715000,738000,870000,812500,800000,825000,870000,992500,6.6
655,strathmore heights,382500,348000,420000,435000,466500,598500,700000,605000,621000,640000,712500,6.4
656,studfield,291000,315500,380000,410000,428500,515500,472000,480500,535000,617500,781000,10.4
657,sunbury,244000,243000,255000,261000,297000,343000,360000,350000,354000,360000,370000,4.2
658,sunderland bay,212500,253500,273000,267500,257000,315000,280000,265000,324500,337000,287000,3.1
659,sunset strip,208000,222000,209000,231000,250000,286000,286500,286500,301500,310000,300000,3.7
660,sunshine,240000,242000,302500,340000,388000,455000,430000,400000,435000,479000,537500,8.4
661,sunshine north,230000,233500,257000,320000,360000,425000,417500,396500,400000,425500,500000,8.1
662,sunshine west,235000,241000,258000,300000,344000,400000,393000,375000,379000,391000,470000,7.2
663,surf beach,225000,253000,250000,271000,289000,332000,350000,350000,375000,360000,355000,4.7
664,surrey hills,650000,715000,990000,930000,1007500,1200000,1210000,1121500,1323000,1442500,1750000,10.4
665,swan hill,193500,210000,207000,210000,235500,230000,225000,225000,225000,230000,248500,2.5
666,sydenham,266500,275000,300000,315000,366500,388000,420000,415000,425000,415000,442000,5.2
667,syndal,465000,486000,650000,693000,760000,860500,850000,784000,950000,1160000,1525000,12.6
668,tallangatta,160000,164500,199500,165000,181000,186000,175000,185000,154000,200000,233000,3.8
669,tangambalanga,225000,257500,230000,235000,220000,245000,235000,177500,272500,253000,215000,-0.5
670,tarneit,272500,278000,292000,298000,325000,360000,369000,356000,371000,395000,400000,3.9
671,tatura,183500,201000,199000,200000,195000,220000,215000,229500,222500,237500,233000,2.4
672,tawonga south,167000,213000,242000,242500,245000,216000,230000,255000,219500,235000,255000,4.3
673,taylors hill,290000,304500,317500,345500,375500,425000,420000,480000,487500,510000,530000,6.2
674,taylors lakes,320000,331500,350000,395000,420000,467500,500000,477500,489000,510000,572500,6.0
675,tecoma,276500,282500,320000,368000,375000,400000,427500,412000,415000,478000,510000,6.3
676,templestowe,495000,555000,636000,700000,722500,803500,802000,811000,865000,950000,1138000,8.7
677,templestowe lower,422000,437000,552000,585000,630000,726000,711000,669000,750000,827000,1044000,9.5
678,terang,153500,180000,155000,163000,153500,179000,160000,155000,161500,195000,206500,3.0
679,the basin,265000,280500,327000,340000,370000,430000,400000,410000,430000,464500,550000,7.6
680,the patch,310000,312500,310000,415000,390000,437500,470000,417500,407000,486500,505000,5.0
681,thomastown,256000,260500,280000,323000,350000,416000,400000,364500,390000,419000,436000,5.5
682,thomson (geelong),184500,185000,199500,205000,215000,280000,281500,275000,281000,290000,289000,4.6
683,thornbury,396500,439000,546000,570000,602500,715500,685000,712500,729000,840000,920000,8.8
684,timboon,160000,258000,216500,163500,202500,187000,211500,212500,184000,210000,240000,4.1
685,tongala,142000,152000,165000,179000,158500,157000,154000,175000,185000,179000,157500,1.0
686,toongabbie,135500,159500,185000,196000,221000,260000,230000,212500,234000,261500,235000,5.7
687,toora,162500,177500,165000,150000,155000,175000,220000,210000,165000,155000,235000,3.8
688,tooradin,225000,265000,250000,308500,320000,420000,365000,380000,420000,480000,472000,7.7
689,toorak,1750000,2141500,2615000,2610000,2710000,2525000,2610000,2852500,2875000,3325000,3850000,8.2
690,tootgarook,230000,248500,275000,311500,315000,370000,373500,390000,387000,402500,402500,5.8
691,torquay,380000,390000,440000,492000,475000,532500,561500,565000,580000,581500,625000,5.1
692,trafalgar,178000,181000,210000,205500,216000,247500,280000,285000,283000,311000,310000,5.7
693,traralgon,180000,194500,215000,225000,230000,256500,270000,260000,269500,275000,272500,4.2
694,traralgon east,289000,298500,320000,337500,380000,388000,405000,400000,435000,440000,432500,4.1
695,travancore,460000,650000,610000,468500,640000,625000,525000,810000,905000,848000,1000000,8.1
696,trentham,200000,240000,216000,245000,237500,300000,287000,331500,407500,340000,422500,7.8
697,truganina,286000,275000,279000,301000,320000,345000,350000,341000,360000,390000,400000,3.4
698,tullamarine,262500,265000,290000,332500,380000,440000,420000,393500,395000,413500,470000,6.0
699,tungamah,117500,117500,155000,150000,124000,125000,135000,86000,89000,140000,117500,0.0
700,tyabb,220000,240000,270000,270000,291500,346000,350000,372500,370500,367500,395000,6.0
701,upper ferntree gully,275000,294000,324500,365000,350000,427500,400000,408500,437500,500000,515000,6.5
702,upwey,270000,305000,338000,345000,380500,415500,415000,422500,422500,476000,515000,6.7
703,ventnor,282500,272500,340000,365000,383500,380000,365000,386500,370000,377500,425000,4.2
704,venus bay,204000,190000,200000,217000,238000,239000,265500,238500,242500,237000,235000,1.4
705,vermont,347000,360000,455500,455500,520000,610000,553000,571000,610000,725000,855000,9.4
706,vermont south,401000,437000,530500,570000,590000,694500,672500,654500,722500,815000,1005500,9.6
707,viewbank,403500,411500,456000,484000,520500,625000,603500,589000,632000,725000,820000,7.3
708,violet town,155000,150000,132500,175000,180000,172500,170000,204500,215000,199500,199000,2.5
709,wahgunyah,170000,200000,188500,200000,190000,245000,190000,244000,190000,213500,267000,4.6
710,wallan,242000,262000,260000,269000,288000,330000,350000,336500,342500,360000,360000,4.1
711,wallan east,219000,225000,240000,225000,230000,290000,305000,315000,312500,306000,310000,3.5
712,wandana heights,383500,406000,390000,470000,460000,540000,592500,557500,540000,582000,590000,4.4
713,wandin north,230000,256000,284000,284500,335000,410000,380500,380000,406500,439500,476500,7.6
714,wangaratta,200000,215000,220500,215000,228000,240000,242500,240000,240000,255000,272000,3.1
715,wantirna,320000,335000,405000,430000,455500,544500,528000,515000,575500,667500,791000,9.5
716,wantirna south,358500,376000,453500,486000,533000,571000,580000,542500,579000,739000,900000,9.6
717,warburton,205000,228500,241000,250000,259000,300000,315000,300000,310000,315000,325000,4.7
718,warneet,222500,247500,221000,223500,275000,332500,295000,284000,337000,355000,395000,5.9
719,warracknabeal,81000,85000,84000,97000,90000,88000,115000,105000,107500,110000,109500,3.1
720,warragul,218000,225000,245500,241500,247500,280000,295000,300000,315000,320000,307000,3.5
721,warrandyte,391500,445000,519000,533000,575000,635000,663500,620000,640000,764000,829000,7.8
722,warranwood,415000,450000,495000,525000,555000,636500,632500,654000,603000,665000,786000,6.6
723,warrnambool,254000,270000,279000,295000,295000,320000,320000,316000,325000,323000,330000,2.7
724,waterways,493000,394500,525000,580000,535000,608000,688000,682000,667000,845000,902000,6.2
725,watsonia,295000,305000,346000,400000,431000,505000,500000,458500,505000,555000,615000,7.6
726,watsonia north,302500,335500,374000,395000,435000,529000,470500,462000,510000,572500,630500,7.6
727,wattle glen,345000,352500,381000,440000,450000,490000,569500,527000,475000,500000,569000,5.1
728,waurn ponds,335000,329000,352500,375000,372500,435000,421000,452500,446500,470000,480000,3.7
729,wedderburn,80000,105000,125000,95000,70000,140000,123000,122500,149000,135000,95000,1.7
730,wendouree,190000,187000,195000,196000,205000,230000,235000,236500,243500,247000,250000,2.8
731,wendouree west,135000,136500,153500,125000,163500,186000,166000,167500,200500,165000,207500,4.4
732,werribee,210000,219000,221000,240000,263500,308000,315000,300000,309000,315000,338000,4.9
733,werribee south,390000,326500,375000,347000,420000,419000,455500,440000,538000,600000,665000,5.5
734,wesburn,205000,212000,260000,260000,278000,330000,327000,290000,312500,288500,395000,6.8
735,west footscray,301500,321000,395000,433500,473500,558500,515000,527500,545000,632500,707000,8.9
736,west melbourne,400000,518000,570000,560000,730000,804500,590500,620000,840000,971500,1005000,9.7
737,west wodonga,250000,270000,269000,255000,265000,281500,275000,268500,272500,296000,305000,2.0
738,westall,292500,300000,410000,429000,410000,480000,470000,475500,515000,563000,640000,8.1
739,westgarth,492500,495000,655000,643000,765000,891500,951000,825000,920000,1100000,1282500,10.0
740,westmeadows,275000,271500,266500,295000,345000,410000,397500,377500,388500,419000,447500,5.0
741,wheelers hill,400000,422500,520000,545500,615000,686500,650000,667500,740000,803500,1000000,9.6
742,white hills,197000,203500,211000,202500,220000,255000,265000,273000,280000,312500,295500,4.1
743,whittington,194000,178000,190000,210000,207500,245000,265000,252000,259000,262000,280000,3.7
744,whittlesea,290000,283500,300000,318000,330000,345000,371500,365000,375000,376000,400000,3.3
745,williams landing,290000,346000,328000,329000,355000,367500,371000,450000,470000,450000,524000,6.1
746,williamstown,625000,595000,750000,749000,800000,884000,895000,910000,913000,970000,1120000,6.0
747,williamstown north,409000,441500,521000,498500,500000,680000,839000,680000,680000,792000,850000,7.6
748,wimbledon heights,187500,210000,266000,252500,260000,299000,259000,290000,271500,310000,291500,4.5
749,winchelsea,198000,210000,175000,196000,206000,235000,260000,268500,287000,287500,262000,2.8
750,windsor,489000,585000,727500,731500,779500,856000,822000,815500,825000,961000,1113000,8.6
751,winter valley,331000,260000,270000,284000,276000,325000,325000,353500,340000,340500,365000,1.0
752,wodonga,226000,245000,239500,242000,240000,262000,277500,255500,283000,295000,295000,2.7
753,wollert,730250,730250,730250,730250,403000,425000,450000,410000,400000,395000,438000,
754,wonga park,450000,434000,500500,505000,667000,620000,672500,622500,674500,675000,735000,5.0
755,wonthaggi,190000,198000,220000,227500,250000,275000,261500,229000,231000,253000,260000,3.2
756,woodend,256000,308000,325000,339000,339000,480000,477500,430000,470000,455000,492500,6.8
757,woolamai waters,225000,240000,251000,271000,280000,342500,350000,347500,349500,383000,340000,4.2
758,woori yallock,198000,210000,219000,257000,278000,300000,312000,315000,330000,317000,359500,6.1
759,wurruk,170000,166500,179000,225000,223000,175500,216500,235000,285000,222000,237500,3.4
760,wy yung,395000,252500,270000,280000,269000,289000,288500,325000,283000,285000,290000,-3.0
761,wycheproof,56000,100000,102500,91000,115000,86000,86000,96500,95000,103000,108000,6.8
762,wye river,391000,510000,520000,454000,635000,760000,680000,557500,813000,646500,517000,2.8
763,wyndham vale,195000,212000,215000,233000,260000,298000,290000,287000,288500,305000,325000,5.2
764,yackandandah,233000,270000,229000,220000,225000,289000,295000,272500,327500,318000,300000,2.6
765,yallambie,335000,345500,371000,410000,442500,507000,506000,471000,532500,580000,665000,7.1
766,yallourn north,98500,96000,118500,125000,120000,145000,139000,161000,135000,145000,153500,4.5
767,yarra glen,273500,290000,320000,315000,365000,415000,430000,395000,420000,460000,515000,6.5
768,yarra junction,212500,285000,242000,308500,284000,350000,370000,397000,403000,352000,417500,7.0
769,yarragon,185000,166500,197000,185000,196500,206000,255000,266000,258000,303500,272000,3.9
770,yarram,160000,180000,172000,178500,180000,166000,201000,215000,190000,202500,245000,4.4
771,yarraville,365000,385000,490000,510000,541000,644000,610000,607000,692500,715500,816000,8.4
772,yarrawonga,251000,258500,268500,273000,277500,297000,267500,300000,305000,297000,300000,1.8
773,yea,208000,220000,213000,225000,217000,240000,270000,255000,257500,255000,262500,2.4
774,yinnar,155000,150000,167500,197500,183000,280500,208000,221500,220000,240000,182500,1.6
